class,type/scale,name,relevance,text,help,language,mandatory,order,value,other
S,,language,1,,,vi,,0,
S,,format,1,G,,vi,,0,
S,,showprogress,1,Y,,vi,,0,
S,,datestamp,1,Y,,vi,,0,
SL,,surveyls_title,1,Mẫu Khảo sát & Đánh giá Thích ứng Chuẩn Formbricks AI Lab (1 Tab CSV Full),Mẫu file CSV nhập khẩu 1 tab chuẩn LimeSurvey hỗ trợ rẽ nhánh theo năm học và rẽ nhánh theo xếp loại điểm %,vi,,0,
G,,G1_PROFILE,1,Phần 1: Phân loại đối tượng & Năm học,Nhóm phân loại ban đầu để rẽ nhánh theo năm học,vi,,0,
Q,L,BANK,1,Bạn muốn thực hiện bộ đánh giá nào?,Chọn bộ đánh giá thích ứng,vi,Y,0,
A,,BANK_B1,1,VSAIC Readiness (Tự đánh giá sẵn sàng),,vi,,0,B1
A,,BANK_B2,1,VSAIC Competency (Đánh giá năng lực theo năm học),,vi,,1,B2
Q,L,YEAR,"{BANK == ""B2""}",Bạn là sinh viên năm mấy?,Rẽ nhánh bộ đề theo từng năm học,vi,Y,1,
A,,YEAR_1,1,Sinh viên Năm 1,,vi,,0,1
A,,YEAR_2,1,Sinh viên Năm 2,,vi,,1,2
A,,YEAR_3,1,Sinh viên Năm 3,,vi,,2,3
A,,YEAR_4,1,Sinh viên Năm 4,,vi,,3,4
G,,G2_YEAR_1,"{BANK == ""B2"" and YEAR == ""1""}",Phần 2A: Bộ đề kiểm tra kiến thức cho Sinh viên Năm 1,Bộ câu hỏi thích ứng dành riêng cho Sinh viên Năm 1,vi,,1,
Q,L,Q101,"{BANK == ""B2"" and YEAR == ""1""}",Công cụ AI dạng notebook nghiên cứu nào hỗ trợ tải tài liệu và hỏi đáp trực tiếp?,Chọn 1 đáp án chính xác nhất,vi,Y,0,
A,,Q101_A,1,ChatGPT Web,,vi,,0,A
A,,Q101_B,1,NotebookLM (Đáp án đúng),,vi,,1,B
A,,Q101_C,1,Claude 3.5 Sonnet,,vi,,2,C
Q,5,Q102,"{BANK == ""B2"" and YEAR == ""1""}",Mức độ tự tin ứng dụng AI vào việc tự học?,Đánh giá thang điểm từ 1 đến 5,vi,Y,1,
Q,F,Q103,"{BANK == ""B2"" and YEAR == ""1""}",Ma trận tự đánh giá năng lực AI cơ bản,Đánh giá mức độ thành thạo kỹ năng,vi,Y,2,
SQ,,Q103_SQ1,1,Kỹ năng thiết kế Prompt chính xác,,vi,,0,
SQ,,Q103_SQ2,1,Kỹ năng phát hiện và sửa thông tin sai sót của AI,,vi,,1,
A,,Q103_C1,1,Mới bắt đầu (Cơ bản),,vi,,0,1
A,,Q103_C2,1,Thành thạo (Nâng cao),,vi,,1,2
G,,G3_YEAR_2,"{BANK == ""B2"" and (YEAR == ""2"" or YEAR == ""3"" or YEAR == ""4"")}",Phần 2B: Bộ đề nâng cao cho Sinh viên Năm 2 trở lên,Bộ câu hỏi thích ứng dành cho Sinh viên Năm 2 - 4,vi,,2,
